user_id,watch_time,session_duration,visit_frequency,completion_rate,number_of_sessions,action_preference,family_preference,comedy_preference,drama_preference,primary_device,subscription_tier,weekend_watch_ratio,skip_intro_rate
USR_04067,1375.4,29.8,15,0.793,46,0.254,0.228,0.306,0.212,SmartTV,Premium,0.454,0.497
USR_00334,2591.0,61.0,12,0.822,42,0.922,0.037,0.041,0.0,SmartTV,Standard,0.404,1.0
USR_04685,2362.7,79.9,16,0.997,29,0.262,0.095,0.296,0.347,Mobile,Premium,0.434,0.901
USR_00487,1778.7,49.8,20,0.876,35,0.842,0.033,0.086,0.039,Console,Premium,0.419,0.862
USR_01963,773.9,55.8,7,0.75,13,0.0,0.636,0.173,0.191,SmartTV,Premium,0.649,0.521
USR_00394,3137.3,36.8,11,0.903,85,0.771,0.039,0.112,0.078,SmartTV,Standard,0.415,0.94
USR_04843,3690.7,81.3,17,0.94,45,0.168,0.11,0.192,0.53,SmartTV,Premium,0.616,0.834
USR_04867,2765.8,108.0,17,0.945,25,0.273,0.153,0.185,0.389,SmartTV,Standard,0.703,0.863
USR_01756,1184.2,47.5,8,0.628,24,0.121,0.612,0.115,0.152,SmartTV,Basic,0.741,0.284
USR_02516,534.4,28.4,4,0.553,18,0.301,0.184,0.381,0.134,Mobile,Basic,0.413,0.277
USR_03586,803.6,50.4,13,0.828,15,0.268,0.169,0.222,0.341,Mobile,Basic,0.29,0.576
USR_04316,1433.1,52.0,21,0.778,27,0.275,0.251,0.29,0.184,Mobile,Standard,0.458,0.464
USR_04967,2171.1,88.7,7,0.932,24,0.304,0.097,0.171,0.428,Web,Basic,0.46,0.898
USR_02100,1436.8,48.4,5,0.544,29,0.016,0.734,0.14,0.11,Mobile,Basic,0.556,0.377
USR_03600,1010.1,50.9,11,0.783,19,0.23,0.248,0.244,0.278,Tablet,Premium,0.271,0.813
USR_04122,1222.6,49.4,16,0.785,24,0.335,0.186,0.383,0.096,SmartTV,Standard,0.528,0.683
USR_00030,2147.9,54.7,22,0.957,39,0.727,0.082,0.09,0.101,Web,Premium,0.403,0.938
USR_00066,2232.9,38.1,18,0.813,58,0.782,0.081,0.136,0.001,SmartTV,Basic,0.478,0.76
USR_00839,3241.1,45.9,15,0.76,70,0.766,0.033,0.11,0.091,Web,Premium,0.431,0.722
USR_03907,1834.8,33.9,18,0.714,54,0.268,0.214,0.217,0.301,Web,Basic,0.468,0.529
USR_03774,1666.2,34.6,21,0.585,48,0.3,0.232,0.166,0.302,Web,Standard,0.328,0.554
USR_04636,3665.2,86.6,17,0.94,42,0.309,0.053,0.221,0.417,Tablet,Premium,0.554,0.921
USR_03162,340.6,9.7,3,0.394,35,0.153,0.095,0.719,0.033,Mobile,Free,0.314,0.362
USR_02660,494.8,21.3,7,0.392,23,0.311,0.069,0.619,0.001,Mobile,Free,0.323,0.174
USR_04616,2649.8,77.9,15,0.959,34,0.149,0.127,0.246,0.478,Tablet,Standard,0.554,0.917
USR_04629,3794.3,97.4,13,0.914,38,0.097,0.105,0.197,0.601,SmartTV,Premium,0.589,1.0
USR_02452,457.8,20.3,6,0.289,22,0.384,0.084,0.532,0.0,Mobile,Free,0.272,0.0
USR_02847,154.4,21.1,6,0.495,7,0.284,0.104,0.612,0.0,Tablet,Free,0.243,0.158
USR_01145,2532.3,37.0,17,0.907,68,0.749,0.075,0.177,-0.001,SmartTV,Standard,0.478,0.951
USR_03079,199.9,12.8,8,0.276,15,0.159,0.066,0.368,0.407,Mobile,Free,0.212,0.45
USR_01104,1065.0,68.8,21,0.892,15,0.809,0.111,0.079,0.001,SmartTV,Premium,0.441,0.984
USR_00169,2630.0,71.5,21,0.937,36,0.758,0.092,0.149,0.001,SmartTV,Standard,0.479,0.856
USR_01671,997.2,61.1,9,0.95,16,0.043,0.729,0.228,0.0,SmartTV,Standard,0.829,0.186
USR_02571,373.0,14.0,3,0.493,26,0.193,0.157,0.398,0.252,Mobile,Standard,0.27,0.267
USR_02378,509.7,22.6,1,0.545,22,0.154,0.088,0.576,0.182,Mobile,Free,0.388,0.313
USR_04396,1650.5,57.5,19,0.735,28,0.318,0.231,0.213,0.238,Mobile,Standard,0.422,0.553
USR_04258,1805.6,46.9,18,0.801,38,0.379,0.195,0.229,0.197,Tablet,Basic,0.279,0.713
USR_03863,2224.6,27.7,21,0.615,65,0.193,0.23,0.208,0.369,Mobile,Standard,0.425,0.866
USR_00024,2483.9,45.5,21,0.91,54,0.858,0.012,0.083,0.047,Mobile,Premium,0.382,0.798
USR_02634,669.4,20.8,1,0.397,32,0.335,0.08,0.585,0.0,Tablet,Basic,0.357,0.0
USR_03341,484.3,12.3,1,0.383,35,0.306,0.194,0.313,0.187,Mobile,Basic,0.43,0.0
USR_02216,1071.1,52.7,6,0.727,20,0.102,0.621,0.086,0.191,Web,Standard,0.731,0.423
USR_03683,1740.3,40.9,19,0.788,42,0.214,0.178,0.145,0.463,Web,Standard,0.367,0.738
USR_04725,2357.7,64.7,17,0.954,36,0.357,0.0,0.182,0.461,Tablet,Premium,0.593,0.965
USR_01908,960.4,61.9,12,0.634,15,0.055,0.752,0.129,0.064,SmartTV,Basic,0.712,0.608
USR_00085,2385.1,76.5,19,0.893,31,0.7,0.097,0.203,0.0,Tablet,Standard,0.378,0.811
USR_00228,2378.1,52.2,18,0.933,45,0.873,0.0,0.054,0.073,SmartTV,Standard,0.3,0.798
USR_00297,2359.8,54.5,15,0.97,43,0.777,0.077,0.146,0.0,SmartTV,Standard,0.338,0.888
USR_01002,2585.4,52.8,20,0.903,49,0.747,0.016,0.237,0.0,SmartTV,Standard,0.381,0.673
USR_02139,1187.6,52.5,7,0.797,22,0.053,0.812,0.136,-0.001,SmartTV,Standard,0.803,0.406
USR_00712,2701.5,57.1,23,0.876,47,0.709,0.101,0.08,0.11,Tablet,Premium,0.301,0.686
USR_02802,300.6,17.1,5,0.613,17,0.291,0.167,0.346,0.196,Mobile,Free,0.271,0.478
USR_02528,612.2,21.5,1,0.578,28,0.28,0.164,0.555,0.001,Mobile,Free,0.34,0.284
USR_03753,1600.0,54.0,20,0.6,29,0.334,0.293,0.28,0.093,Web,Standard,0.497,0.62
USR_03322,248.4,10.5,5,0.226,23,0.153,0.162,0.473,0.212,SmartTV,Basic,0.439,0.353
USR_03182,563.1,17.5,8,0.327,32,0.157,0.196,0.647,0.0,Tablet,Free,0.419,0.167
USR_04184,1390.2,35.1,11,0.703,39,0.249,0.187,0.244,0.32,Web,Premium,0.406,0.71
USR_01616,799.2,50.3,9,0.615,15,0.018,0.883,0.099,0.0,SmartTV,Premium,0.742,0.653
USR_03025,487.2,18.9,5,0.275,25,0.105,0.251,0.371,0.273,Tablet,Basic,0.554,0.173
USR_01414,972.2,46.8,12,0.801,20,0.054,0.741,0.14,0.065,Mobile,Free,0.605,0.411
USR_00764,2270.3,57.2,18,0.886,39,0.794,0.0,0.15,0.056,Tablet,Premium,0.349,0.857
USR_00656,1891.0,45.6,25,0.895,41,0.779,0.095,0.124,0.002,SmartTV,Basic,0.536,0.813
USR_04798,3449.1,86.7,18,0.975,39,0.417,0.101,0.103,0.379,Mobile,Premium,0.657,0.898
USR_03850,955.7,33.0,17,0.685,28,0.224,0.254,0.302,0.22,Web,Premium,0.446,0.597
USR_04154,1732.0,49.4,21,0.773,35,0.247,0.267,0.274,0.212,Tablet,Standard,0.456,0.834
USR_00469,2893.4,28.7,28,0.947,90,0.739,0.082,0.1,0.079,SmartTV,Premium,0.518,0.929
USR_00158,1919.6,55.3,27,0.875,34,0.821,0.018,0.121,0.04,SmartTV,Free,0.405,0.929
USR_01296,942.2,43.0,8,0.835,21,0.081,0.55,0.162,0.207,Tablet,Standard,0.61,0.524
USR_00498,2777.0,64.0,24,0.938,43,0.779,0.036,0.022,0.163,SmartTV,Premium,0.486,0.884
USR_04741,2960.8,79.3,15,0.935,37,0.316,0.11,0.207,0.367,Tablet,Premium,0.574,0.869
USR_02941,188.9,23.0,5,0.189,8,0.215,0.108,0.473,0.204,SmartTV,Basic,0.432,0.1
USR_03457,321.7,15.8,5,0.414,20,0.359,0.1,0.515,0.026,Tablet,Premium,0.132,0.634
USR_00374,2574.7,50.8,18,0.903,50,0.891,0.036,0.0,0.073,Console,Basic,0.387,0.923
USR_00080,2879.5,48.8,27,1.0,59,0.747,0.042,0.173,0.038,SmartTV,Basic,0.546,0.808
USR_01554,1191.9,45.5,9,0.778,26,0.143,0.729,0.128,0.0,Web,Standard,0.549,0.439
USR_01670,909.3,48.9,8,0.508,18,0.091,0.616,0.091,0.202,SmartTV,Standard,0.752,0.662
USR_02132,1271.7,21.3,10,0.672,40,0.216,0.646,0.138,0.0,SmartTV,Premium,0.735,0.288
USR_04440,2399.7,90.9,13,0.942,26,0.118,0.11,0.253,0.519,Web,Free,0.481,0.912
USR_00466,2395.6,63.1,24,0.856,37,0.688,0.019,0.081,0.212,SmartTV,Standard,0.472,0.924
USR_00249,2693.2,41.3,21,0.88,65,0.834,0.087,0.063,0.016,Web,Premium,0.427,0.887
USR_00932,2874.6,43.0,17,0.814,66,0.9,0.038,0.037,0.025,Web,Premium,0.386,0.831
USR_01336,844.7,37.7,13,0.88,22,0.103,0.834,0.006,0.057,Tablet,Free,0.601,0.364
USR_04525,3039.4,91.9,20,0.976,33,0.289,0.15,0.218,0.343,SmartTV,Basic,0.529,0.949
USR_01339,990.1,55.9,9,0.585,17,0.0,0.755,0.131,0.114,SmartTV,Standard,0.623,0.512
USR_01407,733.7,47.8,6,0.639,15,0.064,0.697,0.195,0.044,Tablet,Premium,0.667,0.543
USR_01091,2894.8,50.8,26,0.944,57,0.87,0.064,0.067,-0.001,Console,Standard,0.308,0.847
USR_04210,1840.9,53.1,12,0.796,34,0.217,0.188,0.256,0.339,Tablet,Standard,0.437,0.713
USR_00743,2716.6,54.1,20,0.858,50,0.774,0.042,0.133,0.051,Mobile,Basic,0.388,0.977
USR_02324,321.6,6.4,1,0.529,35,0.167,0.083,0.538,0.212,Web,Free,0.304,0.363
USR_03602,1403.1,20.8,18,0.719,65,0.238,0.29,0.238,0.234,Mobile,Basic,0.405,0.746
USR_02124,1297.0,72.7,7,0.563,17,0.061,0.59,0.162,0.187,SmartTV,Free,0.786,0.405
USR_02095,571.6,51.5,8,0.577,11,0.141,0.697,0.162,0.0,Tablet,Standard,0.631,0.42
USR_00241,2814.8,60.8,23,0.916,46,0.875,0.013,0.112,0.0,SmartTV,Basic,0.346,0.894
USR_02352,586.2,18.9,2,0.33,31,0.316,0.113,0.571,0.0,Web,Standard,0.378,0.497
USR_01371,735.7,54.9,9,0.564,13,0.045,0.796,0.088,0.071,SmartTV,Standard,0.572,0.279
USR_01058,3212.6,31.7,31,1.0,90,0.797,0.009,0.148,0.046,Tablet,Premium,0.411,0.841
USR_04817,2679.9,93.6,15,0.97,28,0.24,0.092,0.203,0.465,SmartTV,Premium,0.793,0.94
USR_00200,1850.7,49.6,27,0.9,37,0.807,0.085,0.043,0.065,SmartTV,Premium,0.503,0.844
USR_02281,87.5,17.5,3,0.241,4,0.13,0.143,0.565,0.162,Web,Free,0.525,0.301
USR_04750,3431.8,76.7,24,0.918,44,0.274,0.146,0.192,0.388,SmartTV,Premium,0.391,1.0
USR_02221,799.0,49.2,8,0.711,16,0.083,0.659,0.087,0.171,SmartTV,Standard,0.642,0.557
USR_04772,3402.0,64.0,15,0.941,53,0.19,0.089,0.109,0.612,Console,Standard,0.633,0.9
USR_02820,688.6,17.8,9,0.218,35,0.153,0.161,0.495,0.191,Tablet,Basic,0.221,0.024
USR_03151,294.1,15.4,3,0.343,19,0.273,0.145,0.581,0.001,Mobile,Free,0.511,0.466
USR_04257,2066.5,29.0,18,0.768,65,0.42,0.204,0.214,0.162,SmartTV,Standard,0.432,0.539
USR_03108,312.2,13.2,9,0.438,23,0.265,0.105,0.542,0.088,Web,Basic,0.243,0.123
USR_01974,599.2,52.1,7,0.676,11,0.029,0.634,0.128,0.209,Tablet,Standard,0.707,0.534
USR_01376,1283.7,48.6,9,0.828,26,0.049,0.688,0.141,0.122,SmartTV,Premium,0.77,0.53
USR_03969,1858.2,40.4,16,0.849,46,0.325,0.217,0.337,0.121,Web,Standard,0.488,0.553
USR_04063,1943.9,40.8,16,0.784,47,0.221,0.263,0.228,0.288,Web,Premium,0.209,0.595
USR_04446,4346.1,71.5,17,1.0,60,0.219,0.066,0.236,0.479,Web,Basic,0.571,0.945
USR_03558,1723.8,45.1,20,0.693,38,0.271,0.176,0.316,0.237,SmartTV,Basic,0.416,0.57
USR_00965,2505.1,80.4,18,0.864,31,0.86,0.058,0.082,0.0,Mobile,Premium,0.465,0.872
USR_00180,2303.3,70.7,27,0.846,32,0.761,0.0,0.06,0.179,SmartTV,Standard,0.497,0.979
USR_03699,1543.0,72.0,19,0.808,21,0.382,0.181,0.298,0.139,SmartTV,Premium,0.374,0.668
USR_03822,1783.3,43.8,19,0.727,40,0.276,0.281,0.257,0.186,SmartTV,Standard,0.415,0.672
USR_04879,3541.2,76.4,16,0.886,46,0.203,0.087,0.268,0.442,SmartTV,Standard,0.735,0.903
USR_03900,1819.4,37.5,20,0.732,48,0.333,0.22,0.209,0.238,Tablet,Free,0.519,0.662
USR_04488,3788.3,73.1,8,0.922,51,0.275,0.078,0.077,0.57,Web,Standard,0.667,0.899
USR_03239,391.0,10.9,4,0.237,35,0.229,0.108,0.419,0.244,Mobile,Free,0.564,0.263
USR_02975,312.7,15.9,8,0.51,19,0.351,0.149,0.454,0.046,Web,Basic,0.597,0.387
USR_03581,1322.7,50.5,14,0.789,26,0.222,0.272,0.292,0.214,Web,Basic,0.346,0.719
USR_02888,404.4,5.0,6,0.514,35,0.231,0.115,0.535,0.119,Web,Free,0.248,0.225
USR_02576,284.4,18.5,4,0.564,15,0.236,0.166,0.559,0.039,SmartTV,Basic,0.324,0.439
USR_01420,722.6,35.6,7,0.664,20,0.078,0.725,0.196,0.001,SmartTV,Premium,0.605,0.318
USR_03908,1156.5,45.4,11,0.788,25,0.277,0.199,0.238,0.286,Mobile,Basic,0.28,0.671
USR_04674,1950.8,76.3,14,0.971,25,0.236,0.057,0.302,0.405,Web,Standard,0.681,0.819
USR_04903,3290.0,85.8,19,0.927,38,0.269,0.044,0.245,0.442,Tablet,Premium,0.444,0.94
USR_01861,935.1,75.3,10,0.711,12,0.061,0.812,0.127,0.0,SmartTV,Standard,0.713,0.425
USR_00009,2036.2,49.0,25,0.9,41,0.732,0.081,0.105,0.082,SmartTV,Standard,0.497,0.794
USR_02895,268.9,15.6,2,0.275,17,0.201,0.237,0.563,-0.001,Tablet,Basic,0.471,0.42
USR_02848,484.3,30.0,7,0.445,16,0.15,0.018,0.512,0.32,Web,Free,0.478,0.252
USR_03665,1836.5,59.1,19,0.758,31,0.249,0.216,0.193,0.342,Mobile,Premium,0.448,0.394
USR_00145,1886.2,52.7,19,0.768,35,0.77,0.055,0.175,0.0,Tablet,Premium,0.47,0.768
USR_02105,480.3,50.5,13,0.82,9,0.13,0.715,0.155,0.0,SmartTV,Free,0.438,0.512
USR_03144,369.3,12.8,5,0.487,28,0.291,0.104,0.362,0.243,Tablet,Basic,0.205,0.343
USR_00842,2232.9,75.9,23,0.9,29,0.768,0.057,0.087,0.088,SmartTV,Standard,0.396,0.892
USR_01129,2089.7,54.4,23,0.801,38,0.768,0.031,0.045,0.156,Console,Free,0.441,0.912
USR_00152,2035.4,42.8,22,0.906,47,0.842,0.067,0.082,0.009,Mobile,Standard,0.354,0.857
USR_03592,1279.2,30.0,17,0.739,42,0.26,0.141,0.218,0.381,SmartTV,Standard,0.343,0.726
USR_01053,2634.9,48.5,21,0.8,54,0.703,0.099,0.102,0.096,SmartTV,Premium,0.389,0.841
USR_01591,768.1,65.0,6,0.592,11,0.096,0.71,0.158,0.036,SmartTV,Basic,0.869,0.53
USR_03009,276.1,13.7,5,0.417,20,0.133,0.185,0.6,0.082,Web,Basic,0.247,0.269
USR_02030,971.0,49.0,6,0.727,19,0.067,0.801,0.131,0.001,Web,Basic,0.594,0.236
USR_03419,551.1,18.2,6,0.572,30,0.255,0.112,0.632,0.001,Mobile,Free,0.448,0.336
USR_01808,754.9,34.9,10,0.7,21,0.128,0.605,0.162,0.105,SmartTV,Basic,0.757,0.369
USR_02697,303.5,11.0,1,0.419,27,0.276,0.177,0.468,0.079,Mobile,Standard,0.317,0.353
USR_03040,621.2,20.7,4,0.182,30,0.315,0.061,0.476,0.148,Mobile,Standard,0.332,0.292
USR_00473,1737.6,38.5,27,0.887,45,0.815,0.0,0.04,0.145,Web,Standard,0.491,0.873
USR_03290,363.8,15.2,1,0.416,23,0.128,0.13,0.55,0.192,Mobile,Basic,0.397,0.366
USR_04075,1642.8,36.7,15,0.808,44,0.241,0.22,0.203,0.336,Mobile,Premium,0.407,0.765
USR_03497,526.7,23.5,7,0.364,22,0.189,0.064,0.605,0.142,Mobile,Free,0.115,0.0
USR_00280,1666.3,60.6,28,0.823,27,0.835,0.087,0.079,-0.001,SmartTV,Basic,0.511,0.761
USR_01742,1011.6,30.4,6,0.763,33,0.0,0.81,0.019,0.171,SmartTV,Premium,0.507,0.36
USR_04625,2143.7,91.6,12,0.919,23,0.287,0.04,0.272,0.401,SmartTV,Premium,0.566,0.91
USR_02887,636.2,5.3,6,0.406,35,0.229,0.101,0.378,0.292,Mobile,Free,0.535,0.474
USR_01942,1149.6,20.0,7,0.832,40,0.057,0.823,0.12,0.0,Mobile,Basic,0.697,0.284
USR_00101,2693.5,36.1,27,0.963,74,0.724,0.076,0.125,0.075,Console,Basic,0.441,0.806
USR_02805,494.8,22.7,1,0.42,21,0.244,0.145,0.501,0.11,Tablet,Standard,0.369,0.192
USR_03571,1745.8,48.6,13,0.632,35,0.248,0.22,0.3,0.232,Mobile,Free,0.465,0.606
USR_03685,1387.0,39.9,18,0.734,34,0.249,0.13,0.21,0.411,Mobile,Basic,0.497,0.544
USR_03662,1197.3,34.3,16,0.808,34,0.32,0.191,0.23,0.259,Mobile,Premium,0.269,0.667
USR_00531,2584.2,51.7,22,0.908,50,0.763,0.056,0.089,0.092,SmartTV,Basic,0.498,0.884
USR_01887,1082.6,26.0,4,0.708,40,0.097,0.621,0.106,0.176,SmartTV,Premium,0.496,0.585
USR_00682,2429.3,34.1,22,0.897,71,0.846,0.008,0.146,0.0,SmartTV,Basic,0.609,0.82
USR_03795,1487.9,51.9,21,0.728,28,0.233,0.184,0.318,0.265,Mobile,Basic,0.486,0.648
USR_03945,1132.7,43.8,18,0.727,25,0.224,0.232,0.243,0.301,Mobile,Basic,0.488,0.495
USR_04667,3238.2,76.2,14,0.935,42,0.285,0.026,0.185,0.504,SmartTV,Standard,0.487,1.0
USR_02019,715.6,38.3,13,0.727,18,0.119,0.755,0.126,0.0,Mobile,Free,0.636,0.45
USR_01097,2211.1,55.3,19,0.9,40,0.732,0.079,0.161,0.028,Web,Basic,0.362,0.84
USR_00830,2231.0,49.0,23,0.89,45,0.872,0.095,0.034,-0.001,SmartTV,Standard,0.325,0.896
USR_02806,153.8,23.9,2,0.401,6,0.16,0.215,0.511,0.114,Mobile,Basic,0.313,0.412
USR_03830,1668.6,49.4,19,0.714,33,0.235,0.312,0.269,0.184,SmartTV,Standard,0.317,0.753
USR_04382,1187.5,29.1,12,0.731,40,0.278,0.255,0.324,0.143,SmartTV,Basic,0.47,0.483
USR_03892,1914.9,41.2,13,0.753,46,0.341,0.211,0.301,0.147,Web,Premium,0.433,0.685
USR_00765,2415.5,50.7,25,0.92,47,0.724,0.028,0.0,0.248,Web,Standard,0.432,0.843
USR_02768,589.4,18.6,6,0.364,31,0.18,0.174,0.414,0.232,Mobile,Basic,0.544,0.277
USR_04329,1573.3,37.3,15,0.903,42,0.309,0.223,0.226,0.242,Mobile,Standard,0.5,0.585
USR_03296,567.2,22.0,6,0.431,25,0.171,0.117,0.407,0.305,Tablet,Free,0.256,0.377
USR_02195,881.0,54.4,6,0.693,16,0.004,0.637,0.179,0.18,Web,Premium,0.557,0.569
USR_02358,479.0,19.2,8,0.313,25,0.185,0.156,0.3,0.359,Mobile,Basic,0.52,0.346
USR_03426,293.8,22.6,4,0.335,12,0.38,0.039,0.25,0.331,Mobile,Basic,0.438,0.245
USR_03980,1616.7,45.6,17,0.72,35,0.223,0.187,0.23,0.36,Mobile,Standard,0.445,0.752
USR_00912,2801.3,57.2,31,0.828,48,0.804,0.117,0.079,0.0,SmartTV,Basic,0.396,0.795
USR_03146,609.2,20.2,5,0.292,30,0.196,0.133,0.551,0.12,Mobile,Standard,0.379,0.444
USR_01000,1765.3,67.1,15,0.896,26,0.756,0.056,0.168,0.02,SmartTV,Premium,0.385,0.899
USR_03654,987.1,53.4,12,0.633,18,0.339,0.198,0.261,0.202,Mobile,Basic,0.356,0.892
USR_02484,576.7,15.5,5,0.59,35,0.129,0.156,0.459,0.256,Mobile,Basic,0.563,0.31
USR_04077,1978.4,63.1,12,0.796,31,0.349,0.27,0.237,0.144,Tablet,Standard,0.277,0.835
USR_02371,320.4,9.6,1,0.336,33,0.291,0.087,0.564,0.058,Mobile,Free,0.278,0.396
USR_04839,2700.2,98.7,19,0.932,27,0.331,0.082,0.22,0.367,SmartTV,Basic,0.48,0.935
USR_00034,2504.4,37.6,16,0.837,66,0.756,0.072,0.173,-0.001,SmartTV,Standard,0.489,0.837
USR_03790,901.0,47.5,19,0.741,18,0.369,0.22,0.177,0.234,Console,Standard,0.38,0.791
USR_01021,2956.9,73.9,25,0.961,39,0.914,0.065,0.02,0.001,SmartTV,Standard,0.395,0.881
USR_01648,1028.9,60.1,7,0.95,17,0.0,0.857,0.116,0.027,Tablet,Standard,0.518,0.357
USR_00734,2336.8,59.6,18,0.965,39,0.757,0.084,0.159,0.0,SmartTV,Premium,0.422,0.875
USR_04583,2354.4,54.9,15,1.0,42,0.225,0.071,0.249,0.455,SmartTV,Basic,0.535,0.959
USR_03275,276.7,16.8,2,0.403,16,0.164,0.064,0.561,0.211,Mobile,Free,0.273,0.229
USR_01621,1073.3,47.6,3,0.922,22,0.14,0.592,0.119,0.149,SmartTV,Premium,0.656,0.549
USR_03136,340.6,10.4,8,0.342,32,0.193,0.056,0.595,0.156,Console,Free,0.272,0.295
USR_02690,288.2,18.1,6,0.274,15,0.162,0.153,0.368,0.317,Tablet,Standard,0.366,0.486
USR_02708,479.4,27.6,6,0.302,17,0.194,0.0,0.535,0.271,Tablet,Basic,0.507,0.099
USR_00298,2279.6,53.8,19,0.906,42,0.822,0.032,0.064,0.082,SmartTV,Premium,0.411,0.778
USR_02340,361.4,8.7,2,0.57,35,0.264,0.047,0.332,0.357,Mobile,Basic,0.275,0.022
USR_00654,2529.4,44.7,18,0.753,56,0.825,0.03,0.145,0.0,Mobile,Standard,0.506,0.747
USR_03775,2058.5,38.4,15,0.615,53,0.257,0.175,0.248,0.32,SmartTV,Basic,0.4,0.593
USR_01256,844.4,74.0,8,0.733,11,0.105,0.763,0.132,0.0,Mobile,Standard,0.648,0.44
USR_04521,2420.9,92.3,19,0.982,26,0.224,0.141,0.197,0.438,SmartTV,Premium,0.435,0.84
USR_00231,2648.2,59.1,23,0.8,44,0.817,0.1,0.083,0.0,Mobile,Premium,0.417,0.728
USR_03277,466.5,19.9,1,0.298,23,0.184,0.166,0.65,0.0,Web,Premium,0.27,0.104
USR_03231,574.3,16.2,4,0.429,35,0.182,0.253,0.478,0.087,Mobile,Premium,0.222,0.538
USR_00692,1962.5,57.7,14,0.813,34,0.832,0.021,0.147,0.0,SmartTV,Basic,0.448,0.705
USR_02755,294.4,18.9,10,0.277,15,0.302,0.161,0.356,0.181,Mobile,Standard,0.417,0.311
USR_04864,2810.3,73.8,14,0.967,38,0.257,0.111,0.297,0.335,SmartTV,Standard,0.513,0.917
USR_00970,2109.2,49.3,24,0.977,42,0.733,0.007,0.132,0.128,Web,Standard,0.484,0.85
USR_00634,1983.6,60.7,19,0.866,32,0.822,0.081,0.046,0.051,SmartTV,Standard,0.5,0.94
USR_04093,1388.2,52.0,11,0.757,26,0.202,0.169,0.299,0.33,Tablet,Basic,0.301,0.513
USR_04078,1466.9,29.3,20,0.68,50,0.233,0.228,0.284,0.255,SmartTV,Basic,0.486,0.78
USR_01322,1037.0,39.9,8,0.523,25,0.106,0.769,0.125,0.0,SmartTV,Premium,0.613,0.463
USR_01832,706.3,63.7,6,0.712,11,0.047,0.814,0.101,0.038,Web,Free,0.848,0.3
USR_02179,1049.2,45.3,7,0.585,23,0.107,0.811,0.082,0.0,SmartTV,Standard,0.54,0.422
USR_01418,877.2,34.6,8,0.558,25,0.107,0.601,0.121,0.171,SmartTV,Basic,0.537,0.759
USR_01783,879.2,66.1,4,0.799,13,0.055,0.592,0.238,0.115,Mobile,Premium,0.791,0.445
